date,Alfredo Sauce,Anchovies,Artichoke,Arugula,Asiago Cheese,Bacon,Barbecue Sauce,Barbecued Chicken,Beef Chuck Roast,Blue Cheese,Brie Carre Cheese,Calabrese Salami,Capocollo,Caramelized Onions,Chicken,Chipotle Sauce,Chorizo Sausage,Cilantro,Coarse Sicilian Salami,Corn,Eggplant,Feta Cheese,Fontina Cheese,Friggitello Peppers,Garlic,Genoa Salami,Goat Cheese,Gorgonzola Piccante Cheese,Gouda Cheese,Green Olives,Green Peppers,Italian Sausage,Jalapeno Peppers,Kalamata Olives,Luganega Sausage,Mozzarella Cheese,Mushrooms,Nduja Salami,Onions,Oregano,Pancetta,Parmigiano Reggiano Cheese,Pears,Peperoncini verdi,Pepperoni,Pesto Sauce,Pineapple,Plum Tomatoes,Prosciutto,Prosciutto di San Daniele,Provolone Cheese,Red Onions,Red Peppers,Ricotta Cheese,Romano Cheese,Sliced Ham,Smoked Gouda Cheese,Soppressata Salami,Spinach,Sun-dried Tomatoes,Thai Sweet Chilli Sauce,Thyme,Tomatoes,Zucchini
2016-01-01,3.0,4.0,24.0,2.0,12.0,22.0,18.0,18.0,6.0,15.0,0.0,20.0,41.0,0.0,33.0,23.0,3.0,23.0,9.0,23.0,2.0,20.0,3.0,0.0,122.0,4.0,17.0,8.0,0.0,37.0,34.0,3.0,23.0,18.0,9.0,41.0,48.0,0.0,9.0,10.0,0.0,8.0,0.0,7.0,49.0,11.0,19.0,7.0,0.0,2.0,15.0,113.0,99.0,8.0,15.0,6.0,15.0,3.0,33.0,10.0,13.0,0.0,139.0,7.0
2016-01-02,0.0,11.0,55.0,6.0,8.0,16.0,13.0,13.0,10.0,12.0,0.0,14.0,58.0,0.0,45.0,19.0,9.0,19.0,14.0,19.0,7.0,23.0,25.0,2.0,180.0,8.0,36.0,11.0,14.0,39.0,21.0,9.0,33.0,13.0,14.0,61.0,36.0,2.0,14.0,8.0,2.0,11.0,0.0,28.0,34.0,11.0,30.0,3.0,0.0,6.0,12.0,97.0,82.0,11.0,12.0,11.0,12.0,11.0,39.0,6.0,19.0,0.0,165.0,15.0
2016-01-03,3.0,3.0,48.0,11.0,12.0,12.0,16.0,16.0,8.0,12.0,1.0,8.0,29.0,1.0,48.0,15.0,6.0,15.0,9.0,15.0,5.0,18.0,19.0,2.0,135.0,6.0,15.0,14.0,16.0,21.0,31.0,6.0,31.0,17.0,9.0,60.0,31.0,2.0,9.0,3.0,2.0,14.0,1.0,12.0,31.0,16.0,24.0,6.0,1.0,11.0,12.0,86.0,78.0,14.0,12.0,12.0,12.0,3.0,53.0,12.0,12.0,1.0,127.0,18.0
2016-01-04,7.0,7.0,31.0,5.0,17.0,12.0,6.0,6.0,2.0,3.0,0.0,5.0,23.0,0.0,32.0,8.0,1.0,8.0,3.0,8.0,3.0,5.0,10.0,5.0,72.0,3.0,15.0,2.0,10.0,17.0,9.0,1.0,18.0,9.0,3.0,23.0,24.0,5.0,3.0,7.0,5.0,2.0,0.0,8.0,31.0,6.0,13.0,0.0,0.0,5.0,3.0,61.0,52.0,2.0,3.0,5.0,3.0,0.0,25.0,3.0,8.0,0.0,79.0,5.0
2016-01-05,13.0,5.0,34.0,0.0,25.0,11.0,5.0,5.0,4.0,12.0,2.0,7.0,25.0,2.0,53.0,10.0,2.0,10.0,2.0,10.0,2.0,15.0,23.0,0.0,120.0,12.0,6.0,7.0,20.0,15.0,13.0,2.0,30.0,4.0,2.0,51.0,44.0,0.0,2.0,0.0,0.0,7.0,2.0,6.0,41.0,17.0,23.0,0.0,2.0,0.0,12.0,68.0,62.0,7.0,12.0,14.0,12.0,3.0,51.0,6.0,9.0,2.0,83.0,7.0
2016-01-06,8.0,0.0,43.0,7.0,20.0,18.0,9.0,9.0,14.0,9.0,0.0,7.0,28.0,0.0,49.0,12.0,3.0,12.0,10.0,12.0,0.0,47.0,15.0,8.0,139.0,7.0,14.0,18.0,15.0,23.0,19.0,3.0,27.0,32.0,10.0,56.0,53.0,8.0,10.0,5.0,8.0,18.0,0.0,9.0,48.0,7.0,29.0,13.0,0.0,7.0,9.0,107.0,74.0,18.0,9.0,12.0,9.0,0.0,62.0,14.0,17.0,0.0,118.0,2.0
2016-01-07,6.0,1.0,23.0,6.0,12.0,14.0,13.0,13.0,7.0,12.0,1.0,9.0,19.0,1.0,34.0,7.0,6.0,7.0,10.0,7.0,1.0,22.0,9.0,4.0,112.0,1.0,9.0,11.0,5.0,25.0,33.0,6.0,12.0,14.0,10.0,62.0,51.0,4.0,10.0,1.0,4.0,11.0,1.0,8.0,46.0,12.0,21.0,2.0,1.0,6.0,12.0,81.0,65.0,11.0,12.0,12.0,12.0,4.0,47.0,4.0,9.0,1.0,103.0,12.0
2016-01-08,2.0,8.0,28.0,8.0,13.0,11.0,10.0,10.0,4.0,3.0,0.0,12.0,46.0,0.0,35.0,27.0,4.0,27.0,19.0,27.0,7.0,21.0,4.0,5.0,149.0,10.0,24.0,16.0,4.0,46.0,24.0,4.0,31.0,5.0,19.0,48.0,40.0,5.0,19.0,8.0,5.0,16.0,0.0,16.0,41.0,10.0,18.0,0.0,0.0,8.0,3.0,96.0,86.0,16.0,3.0,6.0,3.0,0.0,35.0,0.0,12.0,0.0,159.0,17.0
2016-01-09,6.0,2.0,36.0,8.0,17.0,17.0,3.0,3.0,14.0,9.0,2.0,11.0,30.0,2.0,34.0,11.0,4.0,11.0,5.0,11.0,5.0,23.0,12.0,4.0,130.0,6.0,13.0,20.0,10.0,20.0,10.0,4.0,21.0,21.0,5.0,53.0,35.0,4.0,5.0,2.0,4.0,20.0,2.0,11.0,40.0,11.0,12.0,2.0,2.0,8.0,9.0,82.0,58.0,20.0,9.0,3.0,9.0,2.0,36.0,5.0,9.0,2.0,102.0,11.0
2016-01-10,0.0,7.0,30.0,4.0,11.0,11.0,3.0,3.0,9.0,3.0,1.0,10.0,24.0,1.0,21.0,18.0,1.0,18.0,3.0,18.0,3.0,18.0,9.0,4.0,100.0,6.0,8.0,3.0,6.0,22.0,5.0,1.0,24.0,16.0,3.0,24.0,22.0,4.0,3.0,1.0,4.0,3.0,1.0,7.0,27.0,13.0,12.0,2.0,1.0,4.0,3.0,75.0,46.0,3.0,3.0,6.0,3.0,3.0,32.0,9.0,6.0,1.0,96.0,5.0
2016-01-11,4.0,6.0,14.0,2.0,14.0,9.0,8.0,8.0,0.0,9.0,1.0,16.0,36.0,1.0,23.0,9.0,1.0,9.0,9.0,9.0,0.0,8.0,12.0,7.0,115.0,10.0,10.0,11.0,7.0,33.0,17.0,1.0,16.0,0.0,9.0,53.0,34.0,7.0,9.0,7.0,7.0,11.0,1.0,3.0,45.0,6.0,10.0,0.0,1.0,2.0,9.0,70.0,51.0,11.0,9.0,3.0,9.0,5.0,27.0,4.0,7.0,1.0,96.0,6.0
2016-01-12,0.0,6.0,23.0,4.0,5.0,7.0,10.0,10.0,7.0,3.0,0.0,7.0,14.0,0.0,14.0,10.0,4.0,10.0,7.0,10.0,10.0,15.0,5.0,3.0,77.0,3.0,4.0,9.0,5.0,21.0,18.0,4.0,15.0,13.0,7.0,37.0,15.0,3.0,7.0,3.0,3.0,9.0,0.0,1.0,26.0,11.0,15.0,4.0,0.0,4.0,3.0,58.0,42.0,9.0,3.0,12.0,3.0,0.0,19.0,5.0,3.0,0.0,77.0,13.0
2016-01-13,0.0,8.0,12.0,5.0,3.0,11.0,8.0,8.0,6.0,6.0,1.0,7.0,27.0,1.0,33.0,17.0,2.0,17.0,5.0,17.0,1.0,11.0,6.0,3.0,88.0,3.0,17.0,4.0,3.0,21.0,19.0,2.0,20.0,6.0,5.0,21.0,28.0,3.0,5.0,11.0,3.0,4.0,1.0,6.0,19.0,7.0,17.0,0.0,1.0,5.0,6.0,68.0,70.0,4.0,6.0,3.0,6.0,3.0,20.0,2.0,14.0,1.0,102.0,7.0
2016-01-14,3.0,9.0,31.0,4.0,20.0,7.0,7.0,7.0,11.0,24.0,0.0,17.0,31.0,0.0,57.0,30.0,3.0,30.0,13.0,30.0,5.0,20.0,8.0,4.0,163.0,7.0,7.0,8.0,8.0,40.0,22.0,3.0,38.0,21.0,13.0,54.0,31.0,4.0,13.0,0.0,4.0,8.0,0.0,7.0,35.0,20.0,19.0,0.0,0.0,4.0,24.0,114.0,82.0,8.0,24.0,11.0,24.0,0.0,53.0,1.0,8.0,0.0,155.0,16.0
